TransactionID,Date,AccountID,DeptID,CustomerID,ProductID,Amount,Quantity,Currency,Type,InvoiceID
1,2023-09-02,100,4,3.0,1.0,3328.5,28.0,CAD,Revenue,INV-230902-1
2,2023-09-02,200,3,,1.0,-1545.54,,CAD,Expense,
3,2024-03-31,100,3,15.0,4.0,2008.58,39.0,CAD,Revenue,INV-240331-3
4,2024-03-31,200,3,,4.0,-552.56,,CAD,Expense,
5,2023-11-20,110,3,18.0,3.0,6650.96,12.0,CAD,Revenue,INV-231120-5
6,2023-11-20,200,3,,3.0,-2257.4,,CAD,Expense,
7,2024-07-05,100,4,2.0,4.0,975.03,24.0,CAD,Revenue,INV-240705-7
8,2024-07-05,200,3,,4.0,-288.93,,CAD,Expense,
9,2024-07-05,210,2,,,-1805.13,,CAD,Expense,
10,2025-05-26,100,4,20.0,4.0,279.21,5.0,USD,Revenue,INV-250526-10
11,2025-05-26,200,3,,4.0,-92.64,,USD,Expense,
12,2023-07-25,100,3,6.0,4.0,1021.58,38.0,USD,Revenue,INV-230725-12
13,2023-07-25,200,3,,4.0,-354.73,,USD,Expense,
14,2023-04-14,100,1,18.0,4.0,1283.82,26.0,CAD,Revenue,INV-230414-14
15,2023-04-14,200,3,,4.0,-370.3,,CAD,Expense,
16,2023-04-14,210,2,,,-4275.49,,CAD,Expense,
17,2024-05-02,100,2,2.0,4.0,1700.55,31.0,USD,Revenue,INV-240502-17
18,2024-05-02,200,3,,4.0,-539.54,,USD,Expense,
19,2024-06-02,100,6,3.0,4.0,1564.79,33.0,CAD,Revenue,INV-240602-19
20,2024-06-02,200,3,,4.0,-443.22,,CAD,Expense,
21,2024-06-02,210,2,,,-2182.64,,CAD,Expense,
22,2024-03-27,110,4,20.0,3.0,9899.23,27.0,CAD,Revenue,INV-240327-22
23,2024-03-27,200,3,,3.0,-2986.39,,CAD,Expense,
24,2024-08-08,110,6,8.0,5.0,10865.4,36.0,CAD,Revenue,INV-240808-24
25,2024-08-08,200,3,,5.0,-2843.55,,CAD,Expense,
